Datetime,Open,High,Low,Close,Volume
1609434060000,28400.00000000,28416.66000000,28395.11000000,28401.65000000,28.64785700
1609434120000,28403.88000000,28450.01000000,28384.81000000,28450.01000000,57.50501900
1609434180000,28450.01000000,28450.03000000,28420.00000000,28445.33000000,61.79542900
1609434240000,28445.34000000,28479.81000000,28422.45000000,28464.53000000,39.32755000
1609434300000,28464.53000000,28500.00000000,28459.81000000,28480.64000000,58.11253800
1609434360000,28480.65000000,28484.01000000,28447.52000000,28460.67000000,50.84619100
1609434420000,28460.67000000,28473.00000000,28448.09000000,28465.22000000,44.04614800
1609434480000,28467.23000000,28526.38000000,28467.22000000,28518.14000000,85.10775200
1609434540000,28518.14000000,28532.19000000,28488.16000000,28512.33000000,35.97354300
1609434600000,28512.35000000,28514.54000000,28472.05000000,28503.34000000,51.46291600
1609434660000,28503.35000000,28530.00000000,28503.34000000,28518.10000000,26.56139800
1609434720000,28518.10000000,28536.98000000,28518.10000000,28535.74000000,27.80121700
1609434780000,28535.50000000,28535.50000000,28520.00000000,28532.82000000,33.38383600
1609434840000,28532.82000000,28576.57000000,28532.82000000,28576.02000000,24.93914000
1609434900000,28576.03000000,28625.00000000,28576.02000000,28612.50000000,84.45417200
1609434960000,28612.50000000,28612.50000000,28576.70000000,28580.00000000,44.92975900
1609435020000,28580.00000000,28625.00000000,28579.98000000,28600.78000000,49.54523100
1609435080000,28600.77000000,28608.05000000,28570.00000000,28575.93000000,37.54873500
1609435140000,28575.93000000,28580.12000000,28526.56000000,28528.97000000,31.96814300
1609435200000,28528.96000000,28551.42000000,28524.40000000,28530.09000000,17.47101800
1609435260000,28528.90000000,28558.98000000,28512.00000000,28558.98000000,19.22371100
1609435320000,28558.98000000,28601.34000000,28558.98000000,28593.06000000,25.26472400
1609435380000,28593.05000000,28628.04000000,28593.05000000,28628.04000000,29.75665800
1609435440000,28628.03000000,28670.00000000,28611.54000000,28658.61000000,69.58463500
1609435500000,28658.60000000,28681.93000000,28643.28000000,28674.42000000,48.73262700
1609435560000,28674.42000000,28685.00000000,28660.00000000,28660.00000000,62.67013300
1609435620000,28660.01000000,28680.75000000,28650.01000000,28653.77000000,39.86943900
1609435680000,28653.76000000,28670.60000000,28628.35000000,28662.22000000,49.93219900
1609435740000,28662.21000000,28665.62000000,28641.39000000,28644.30000000,41.65262600
1609435800000,28644.30000000,28654.05000000,28625.04000000,28626.51000000,43.79762700
1609435860000,28626.52000000,28661.45000000,28626.45000000,28637.12000000,32.79075500
1609435920000,28635.67000000,28651.52000000,28630.00000000,28630.41000000,27.21332500
1609435980000,28630.41000000,28640.00000000,28623.66000000,28625.72000000,28.69161700
1609436040000,28625.72000000,28647.50000000,28622.96000000,28643.94000000,24.16479100
1609436100000,28643.93000000,28664.66000000,28643.93000000,28646.70000000,26.02078200
